,precision,recall,f1-score,support
T-shirt/top,0.0,0.0,0.0,1000.0
Trouser,0.0,0.0,0.0,1000.0
Pullover,0.0,0.0,0.0,1000.0
Dress,0.0,0.0,0.0,1000.0
Coat,0.0,0.0,0.0,1000.0
Sandal,0.0,0.0,0.0,1000.0
Shirt,0.0,0.0,0.0,1000.0
Sneaker,0.1,1.0,0.18181818181818182,1000.0
Bag,0.0,0.0,0.0,1000.0
Ankle boot,0.0,0.0,0.0,1000.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.01,0.1,0.01818181818181818,10000.0
weighted avg,0.01,0.1,0.01818181818181818,10000.0
