,precision,recall,f1-score,support
T-shirt/top,0.8321513002364066,0.704,0.7627302275189599,1000.0
Trouser,0.9804928131416838,0.955,0.9675785207700102,1000.0
Pullover,0.7446581196581197,0.697,0.7200413223140496,1000.0
Dress,0.7840501792114696,0.875,0.8270321361058601,1000.0
Coat,0.6563517915309446,0.806,0.7235188509874326,1000.0
Sandal,0.9503619441571872,0.919,0.9344178952719878,1000.0
Shirt,0.5604142692750288,0.487,0.5211342964151953,1000.0
Sneaker,0.9308510638297872,0.875,0.9020618556701031,1000.0
Bag,0.9396636993076162,0.95,0.9448035803083044,1000.0
Ankle boot,0.8778077268643306,0.977,0.9247515380974917,1000.0
accuracy,0.8245,0.8245,0.8245,0.8245
macro avg,0.8256802907212574,0.8244999999999999,0.8228070223459396,10000.0
weighted avg,0.8256802907212574,0.8245,0.8228070223459394,10000.0
