,precision,recall,f1-score,support
T-shirt/top,0.7958333333333333,0.764,0.7795918367346939,1000.0
Trouser,0.9826707441386341,0.964,0.9732458354366481,1000.0
Pullover,0.7045454545454546,0.682,0.693089430894309,1000.0
Dress,0.8192771084337349,0.884,0.8504088504088504,1000.0
Coat,0.648936170212766,0.793,0.7137713771377138,1000.0
Sandal,0.9608826479438315,0.958,0.9594391587381071,1000.0
Shirt,0.6104417670682731,0.456,0.5220377790497996,1000.0
Sneaker,0.944973544973545,0.893,0.9182519280205655,1000.0
Bag,0.9288461538461539,0.966,0.9470588235294117,1000.0
Ankle boot,0.9123468426013195,0.968,0.9393498301795244,1000.0
accuracy,0.8328,0.8328,0.8328,0.8328
macro avg,0.8308753767097045,0.8328,0.8296244850129625,10000.0
weighted avg,0.8308753767097045,0.8328,0.8296244850129624,10000.0
