,precision,recall,f1-score,support
T-shirt/top,0.8210633946830266,0.803,0.8119312436804853,1000.0
Trouser,0.9827235772357723,0.967,0.9747983870967742,1000.0
Pullover,0.7592213114754098,0.741,0.75,1000.0
Dress,0.8344433872502379,0.877,0.8551925889809849,1000.0
Coat,0.6871218668971478,0.795,0.7371349095966621,1000.0
Sandal,0.9573835480673935,0.966,0.9616724738675958,1000.0
Shirt,0.6178266178266179,0.506,0.5563496426608027,1000.0
Sneaker,0.9457202505219207,0.906,0.9254341164453525,1000.0
Bag,0.9415204678362573,0.966,0.9536031589338598,1000.0
Ankle boot,0.9299424184261037,0.969,0.9490695396669931,1000.0
accuracy,0.8496,0.8496,0.8496,0.8496
macro avg,0.8476966840219887,0.8496,0.8475186060929512,10000.0
weighted avg,0.8476966840219887,0.8496,0.847518606092951,10000.0
