,precision,recall,f1-score,support
T-shirt/top,0.8392484342379958,0.804,0.8212461695607763,1000.0
Trouser,0.99079754601227,0.969,0.9797775530839231,1000.0
Pullover,0.7813688212927756,0.822,0.8011695906432749,1000.0
Dress,0.8667953667953668,0.898,0.8821218074656189,1000.0
Coat,0.760035682426405,0.852,0.8033946251768034,1000.0
Sandal,0.9737108190091001,0.963,0.9683257918552036,1000.0
Shirt,0.7103030303030303,0.586,0.6421917808219179,1000.0
Sneaker,0.9420731707317073,0.927,0.9344758064516129,1000.0
Bag,0.9529411764705882,0.972,0.9623762376237623,1000.0
Ankle boot,0.9334619093539055,0.968,0.9504172803141875,1000.0
accuracy,0.8761,0.8761,0.8761,0.8761
macro avg,0.8750735956633144,0.8760999999999999,0.874549664299708,10000.0
weighted avg,0.8750735956633146,0.8761,0.874549664299708,10000.0
