,precision,recall,f1-score,support
T-shirt/top,0.8298800436205016,0.761,0.7939488784559207,1000.0
Trouser,0.9897435897435898,0.965,0.9772151898734177,1000.0
Pullover,0.7509727626459144,0.772,0.7613412228796844,1000.0
Dress,0.861328125,0.882,0.8715415019762845,1000.0
Coat,0.6813450760608487,0.851,0.7567807914628724,1000.0
Sandal,0.9564356435643564,0.966,0.9611940298507463,1000.0
Shirt,0.6439588688946015,0.501,0.5635545556805399,1000.0
Sneaker,0.952076677316294,0.894,0.9221248066013409,1000.0
Bag,0.9442270058708415,0.965,0.9545004945598418,1000.0
Ankle boot,0.9168241965973535,0.97,0.9426627793974732,1000.0
accuracy,0.8527,0.8527,0.8527,0.8527
macro avg,0.8526791989314301,0.8526999999999999,0.8504864250738121,10000.0
weighted avg,0.8526791989314303,0.8527,0.8504864250738122,10000.0
